document_id,file_name,document_type,source,subject,topic,language,chunks_count,checksum,created_at
"DOC-0090","keps204.pdf","NCERT","ncert","Polity & Governance","Executive (President & Governor)","English",45,"36bd2b7f2129d271156bf4097db28e0b70fd8877245cf1406d4eef96d1d7834d","2026-09-08T20:04:15.563395+00:00"
"DOC-0091","keps105.pdf","NCERT","ncert","Polity & Governance","Executive (President & Governor)","English",27,"84ade2609ad3491bea4f1564f4f19f2531cfbe9755c6a51c3bd069f2bab68030","2026-09-08T20:02:33.885677+00:00"
"DOC-0092","keps106.pdf","NCERT","ncert","Polity & Governance","Executive (President & Governor)","English",39,"a69067ecf8c52a26b4824cbe9ada71f82045ff1e0449567a85de3929c1bd7f3e","2026-09-08T20:02:42.264344+00:00"
"DOC-0093","keps108.pdf","NCERT","ncert","Polity & Governance","Executive (President & Governor)","English",39,"4ecca5c0bb1075aac04993be5a7a06765de591811fe3794da79c2c1ad0b7e01a","2026-09-08T20:03:03.721608+00:00"
"DOC-0094","leps106.pdf","NCERT","ncert","Polity & Governance","Executive (President & Governor)","English",6,"4a3fee6b7a6b2c230073ae167a0392e9c0b2234d49d725d9aeafff6a5ddcceda","2026-09-08T20:07:07.207078+00:00"
"DOC-0095","keps201.pdf","NCERT","ncert","Polity & Governance","Executive (President & Governor)","English",51,"6f27328080595e7e4aa2af6ae5f4b6c59da65214a29d7346bee4cffbdb4e5166","2026-09-08T20:03:24.877932+00:00"
"DOC-0096","keps202.pdf","NCERT","ncert","Polity & Governance","Executive (President & Governor)","English",48,"9597e63a5dfc731b0b0fad94657fd29040aa41315575be5c57ccfe0e33da3969","2026-09-08T20:03:41.245416+00:00"
"DOC-0097","keps203.pdf","NCERT","ncert","Polity & Governance","Executive (President & Governor)","English",55,"1ec3da10cde835e42d7076c34848ef8a124cfe92963162796afd460e96487b91","2026-09-08T20:03:55.652392+00:00"
"DOC-0098","keps205.pdf","NCERT","ncert","Polity & Governance","Executive (President & Governor)","English",44,"5197e6cde02b58f47d0d14d93f7fe0352d1311ddc4f7eb2e6bc759c5545d0fe0","2026-09-08T20:04:26.456895+00:00"
"DOC-0099","keps206.pdf","NCERT","ncert","Polity & Governance","Executive (President & Governor)","English",48,"1277a465ea0ed3c6c2b66f6a8207f481675caf180a003216cf33d6ac4c402b7c","2026-09-08T20:04:39.775739+00:00"
"DOC-0100","keps207.pdf","NCERT","ncert","Polity & Governance","Executive (President & Governor)","English",47,"53cfb0527ad9941572f1978f91067f53f2fc32d557054a8e06f54db1417720c7","2026-09-08T20:04:55.159858+00:00"
"DOC-0101","keps208.pdf","NCERT","ncert","Polity & Governance","Executive (President & Governor)","English",38,"310198f51e71f981101cb3121c83a0ff9238003ea0e289806e391699d78a6ee7","2026-09-08T20:05:09.444527+00:00"
"DOC-0102","keps209.pdf","NCERT","ncert","Polity & Governance","Executive (President & Governor)","English",49,"869a1c34897f3ef495e2a319b2692e5a920e01958b989edd3b0492083bcd13e5","2026-09-08T20:05:21.126623+00:00"
"DOC-0103","keps210.pdf","NCERT","ncert","Polity & Governance","Executive (President & Governor)","English",48,"f2034da1647672de785b439ed02c561a2243092cce74fc3e8a0634812473ff3f","2026-09-08T20:05:38.416168+00:00"
"DOC-0104","keps2ps.pdf","NCERT","ncert","Polity & Governance","Executive (President & Governor)","English",22,"29f623e5bec9144e4614e434114006f0df68adfac7e470e6b3a8971a5c5dee08","2026-09-08T20:05:53.814505+00:00"
"DOC-0105","leps101.pdf","NCERT","ncert","Polity & Governance","Executive (President & Governor)","English",41,"f2e02e851eca851a79d0a4794a84576c3f3c45050dd84a930443e2c7828ea0c1","2026-09-08T20:06:02.099079+00:00"
"DOC-0106","leps102.pdf","NCERT","ncert","Polity & Governance","Executive (President & Governor)","English",36,"87c5546fbe5d7d7930580ce9c84164eadf2242a7bb7b4e2973335b0f43ffd578","2026-09-08T20:06:14.709055+00:00"
"DOC-0107","leps103.pdf","NCERT","ncert","Polity & Governance","Executive (President & Governor)","English",44,"8b62f02becd783c084f87c33e6147f547fc5d9f113987654f6c0ed84f2f96cbe","2026-09-08T20:06:25.768394+00:00"
"DOC-0108","leps104.pdf","NCERT","ncert","Polity & Governance","Executive (President & Governor)","English",45,"598be274c34d30ad29cee799186eff39a68c92cc7700fe05a2800bc74348846e","2026-09-08T20:06:38.871734+00:00"
